Project ID,Project Name,Project Status,Project Startdate,Project Enddate,Project URL,GitHub Link
bloodhound,Bloodhound,1,12/23/2011,3/20/2013,http://incubator.apache.org/projects/bloodhound.html,https://github.com/apache/Bloodhound
brooklyn,Brooklyn,1,5/1/2014,11/18/2015,http://incubator.apache.org/projects/brooklyn.html,https://github.com/apache/Brooklyn
buildr,Buildr,1,11/1/2007,2/23/2009,http://incubator.apache.org/projects/buildr.html,https://github.com/apache/Buildr
calcite,Calcite,1,5/19/2014,10/22/2015,http://incubator.apache.org/projects/calcite.html,https://github.com/apache/Calcite
carbondata,CarbonData,1,6/2/2016,4/19/2017,http://incubator.apache.org/projects/carbondata.html,https://github.com/apache/CarbonData
cassandra,Cassandra,1,1/1/2009,2/17/2010,http://incubator.apache.org/projects/cassandra.html,https://github.com/apache/Cassandra
cayenne,Cayenne,1,3/9/2006,12/20/2006,http://incubator.apache.org/projects/cayenne.html,https://github.com/apache/Cayenne
celix,Celix,1,11/2/2010,7/16/2014,http://incubator.apache.org/projects/celix.html,https://github.com/apache/Celix
chemistry,Chemistry,1,4/30/2009,2/16/2010,http://incubator.apache.org/projects/chemistry.html,https://github.com/apache/Chemistry
chukwa,Chukwa,1,7/14/2010,9/27/2013,http://incubator.apache.org/projects/chukwa.html,https://github.com/apache/Chukwa
clerezza,Clerezza,1,11/27/2009,2/20/2013,http://incubator.apache.org/projects/clerezza.html,https://github.com/apache/Clerezza
click,Click,1,7/21/2008,11/18/2009,http://incubator.apache.org/projects/click.html,https://github.com/apache/Click
cloudstack,CloudStack,1,4/16/2012,3/20/2013,http://incubator.apache.org/projects/cloudstack.html,https://github.com/apache/CloudStack
commonsrdf,CommonsRDF,1,3/6/2015,11/28/2016,http://incubator.apache.org/projects/commonsrdf.html,https://github.com/apache/commons-rdf
cordova,Cordova,1,10/15/2011,10/17/2012,http://incubator.apache.org/projects/cordova.html,https://github.com/apache/Cordova
couchdb,CouchDB,1,2/12/2008,11/19/2008,http://incubator.apache.org/projects/couchdb.html,https://github.com/apache/CouchDB
crunch,Crunch,1,5/26/2012,2/20/2013,http://incubator.apache.org/projects/crunch.html,https://github.com/apache/Crunch
ctakes,cTAKES,1,6/11/2012,3/20/2013,http://incubator.apache.org/projects/ctakes.html,https://github.com/apache/cTAKES
curator,Curator,1,3/11/2013,9/1/2013,http://incubator.apache.org/projects/curator.html,https://github.com/apache/Curator
cxf,CXF,1,8/15/2006,4/16/2008,http://incubator.apache.org/projects/cxf.html,https://github.com/apache/CXF
daffodil,Daffodil,1,8/27/2017,2/17/2021,http://incubator.apache.org/projects/daffodil.html,https://github.com/apache/Daffodil
datafu,DataFu,1,1/5/2014,2/21/2018,http://incubator.apache.org/projects/datafu.html,https://github.com/apache/DataFu
datasketches,DataSketches,1,3/30/2019,12/16/2020,http://incubator.apache.org/projects/datasketches.html,https://github.com/apache/DataSketches
deltacloud,Deltacloud,1,5/19/2010,10/26/2011,http://incubator.apache.org/projects/deltacloud.html,https://github.com/apache/Deltacloud
deltaspike,DeltaSpike,1,12/7/2011,5/28/2013,http://incubator.apache.org/projects/deltaspike.html,https://github.com/apache/DeltaSpike
derby,Derby,1,8/15/2004,7/18/2005,http://incubator.apache.org/projects/derby.html,https://github.com/apache/Derby
devicemap,DeviceMap,1,1/3/2012,11/19/2014,http://incubator.apache.org/projects/devicemap.html,https://github.com/apache/devicemap-browsermap
directmemory,DirectMemory,1,10/5/2011,8/15/2012,http://incubator.apache.org/projects/directmemory.html,https://github.com/apache/DirectMemory
distributedlog,DistributedLog,1,6/24/2016,7/1/2017,http://incubator.apache.org/projects/distributedlog.html,https://github.com/apache/DistributedLog
dolphinscheduler,DolphinScheduler,1,8/29/2019,3/17/2021,http://incubator.apache.org/projects/dolphinscheduler.html,https://github.com/apache/DolphinScheduler
drill,Drill,1,8/11/2012,11/19/2014,http://incubator.apache.org/projects/drill.html,https://github.com/apache/Drill
druid,Druid,1,2/28/2018,12/18/2019,http://incubator.apache.org/projects/druid.html,https://github.com/apache/Druid
dubbo,Dubbo,1,2/16/2018,5/15/2019,http://incubator.apache.org/projects/dubbo.html,https://github.com/apache/Dubbo
eagle,Eagle,1,10/26/2015,12/21/2016,http://incubator.apache.org/projects/eagle.html,https://github.com/apache/Eagle
echarts,ECharts,1,1/18/2018,12/16/2020,http://incubator.apache.org/projects/echarts.html,https://github.com/apache/ECharts
empire,Empire-db,1,7/8/2008,1/24/2012,http://incubator.apache.org/projects/empire-db.html,https://github.com/apache/Empire-db
esme,ESME,1,12/2/2008,12/15/2010,http://incubator.apache.org/projects/esme.html,https://github.com/apache/ESME
etch,Etch,1,9/2/2008,1/16/2013,http://incubator.apache.org/projects/etch.html,https://github.com/apache/Etch
falcon,Falcon,1,3/27/2013,12/17/2014,http://incubator.apache.org/projects/falcon.html,https://github.com/apache/Falcon
felix,Felix,1,7/19/2005,4/1/2007,http://incubator.apache.org/projects/felix.html,https://github.com/apache/Felix
fineract,Fineract,1,12/15/2015,4/19/2017,http://incubator.apache.org/projects/fineract.html,https://github.com/apache/Fineract
flink,Flink,1,4/14/2014,12/17/2014,http://incubator.apache.org/projects/flink.html,https://github.com/apache/Flink
flume,Flume,1,6/13/2011,6/20/2012,http://incubator.apache.org/projects/flume.html,https://github.com/apache/Flume
fluo,Fluo,1,5/17/2016,7/19/2017,http://incubator.apache.org/projects/fluo.html,https://github.com/apache/Fluo
freemarker,FreeMarker,1,7/1/2015,3/21/2018,http://incubator.apache.org/projects/freemarker.html,https://github.com/apache/FreeMarker
ftpserver,FtpServer,1,3/29/2003,12/18/2007,http://incubator.apache.org/projects/ftpserver.html,https://github.com/apache/FtpServer
geode,Geode,1,4/27/2015,11/16/2016,http://incubator.apache.org/projects/geode.html,https://github.com/apache/Geode
geronimo,Geronimo,1,8/6/2003,5/26/2004,http://incubator.apache.org/projects/geronimo.html,https://github.com/apache/Geronimo
giraph,Giraph,1,8/1/2011,5/16/2012,http://incubator.apache.org/projects/giraph.html,https://github.com/apache/Giraph
gobblin,Gobblin,1,2/23/2017,1/20/2021,http://incubator.apache.org/projects/gobblin.html,https://github.com/apache/Gobblin
gora,Gora,1,9/26/2010,1/15/2012,http://incubator.apache.org/projects/gora.html,https://github.com/apache/Gora
griffin,Griffin,1,12/5/2016,11/21/2018,http://incubator.apache.org/projects/griffin.html,https://github.com/apache/Griffin
groovy,Groovy,1,3/17/2015,11/18/2015,http://incubator.apache.org/projects/groovy.html,https://github.com/apache/Groovy
guacamole,Guacamole,1,2/10/2016,11/15/2017,http://incubator.apache.org/projects/guacamole.html,https://github.com/apache/guacamole-client
hama,Hama,1,5/20/2008,5/16/2012,http://incubator.apache.org/projects/hama.html,https://github.com/apache/Hama
harmony,Harmony,1,5/18/2005,10/29/2006,http://incubator.apache.org/projects/harmony.html,https://github.com/apache/Harmony
hawq,HAWQ,1,9/4/2015,8/15/2018,http://incubator.apache.org/projects/hawq.html,https://github.com/apache/HAWQ
hcatalog,HCatalog,1,3/14/2011,2/13/2013,http://incubator.apache.org/projects/hcatalog.html,https://github.com/apache/HCatalog
helix,Helix,1,10/14/2012,12/18/2013,http://incubator.apache.org/projects/helix.html,https://github.com/apache/Helix
hudi,Hudi,1,1/17/2019,5/20/2020,http://incubator.apache.org/projects/hudi.html,https://github.com/apache/Hudi
iceberg,Iceberg,1,11/16/2018,5/20/2020,http://incubator.apache.org/projects/iceberg.html,https://github.com/apache/Iceberg
ignite,Ignite,1,10/1/2014,9/18/2015,http://incubator.apache.org/projects/ignite.html,https://github.com/apache/Ignite
impala,Impala,1,12/3/2015,11/15/2017,http://incubator.apache.org/projects/impala.html,https://github.com/apache/Impala
iotdb,IoTDB,1,11/18/2018,9/18/2020,http://incubator.apache.org/projects/iotdb.html,https://github.com/apache/IoTDB
isis,Isis,1,9/7/2010,10/17/2012,http://incubator.apache.org/projects/isis.html,https://github.com/apache/Isis
jackrabbit,Jackrabbit,1,8/28/2004,3/15/2006,http://incubator.apache.org/projects/jackrabbit.html,https://github.com/apache/Jackrabbit
jclouds,jclouds,1,4/29/2013,10/16/2013,http://incubator.apache.org/projects/jclouds.html,https://github.com/apache/jclouds
jena,Jena,1,11/23/2010,4/18/2012,http://incubator.apache.org/projects/jena.html,https://github.com/apache/Jena
johnzon,Johnzon,1,6/9/2014,4/20/2016,http://incubator.apache.org/projects/johnzon.html,https://github.com/apache/Johnzon
joshua,Joshua,1,2/13/2016,10/17/2018,http://incubator.apache.org/projects/joshua.html,https://github.com/apache/Joshua
jspwiki,JSPWiki,1,9/17/2007,7/19/2013,http://incubator.apache.org/projects/jspwiki.html,https://github.com/apache/JSPWiki
juddi,jUDDI,1,9/15/2003,3/17/2004,http://incubator.apache.org/projects/juddi.html,https://github.com/apache/jUDDI
juneau,Juneau,1,6/24/2016,10/18/2017,http://incubator.apache.org/projects/juneau.html,https://github.com/apache/Juneau
kafka,Kafka,1,7/4/2011,10/23/2012,http://incubator.apache.org/projects/kafka.html,https://github.com/apache/Kafka
knox,Knox,1,2/22/2013,2/19/2014,http://incubator.apache.org/projects/knox.html,https://github.com/apache/Knox
kudu,Kudu,1,12/3/2015,7/20/2016,http://incubator.apache.org/projects/kudu.html,https://github.com/apache/Kudu
kylin,Kylin,1,11/25/2014,11/18/2015,http://incubator.apache.org/projects/kylin.html,https://github.com/apache/Kylin
lens,Lens,1,10/10/2014,8/19/2015,http://incubator.apache.org/projects/lens.html,https://github.com/apache/Lens
lenya,Lenya,1,3/15/2003,8/18/2004,http://incubator.apache.org/projects/lenya.html,https://github.com/apache/Lenya
libcloud,Libcloud,1,11/1/2009,5/19/2011,http://incubator.apache.org/projects/libcloud.html,https://github.com/apache/Libcloud
log4cxx,log4cxx,1,1/31/2004,1/11/2005,http://incubator.apache.org/projects/log4cxx.html,https://github.com/apache/log4cxx
lucenenet,Lucene.NET,1,2/5/2011,8/15/2012,http://incubator.apache.org/projects/lucene.net.html,https://github.com/apache/Lucene.NET
lucy,Lucy,1,7/22/2010,2/22/2012,http://incubator.apache.org/projects/lucy.html,https://github.com/apache/Lucy
madlib,MADlib,1,9/15/2015,7/19/2017,http://incubator.apache.org/projects/madlib.html,https://github.com/apache/MADlib
manifoldcf,ManifoldCF,1,1/10/2010,5/16/2012,http://incubator.apache.org/projects/manifoldcf.html,https://github.com/apache/ManifoldCF
marmotta,Marmotta,1,12/3/2012,11/20/2013,http://incubator.apache.org/projects/marmotta.html,https://github.com/apache/Marmotta
mesos,Mesos,1,12/23/2010,6/19/2013,http://incubator.apache.org/projects/mesos.html,https://github.com/apache/Mesos
metamodel,MetaModel,1,6/12/2013,11/20/2014,http://incubator.apache.org/projects/metamodel.html,https://github.com/apache/MetaModel
metron,Metron,1,12/6/2015,4/19/2017,http://incubator.apache.org/projects/metron.html,https://github.com/apache/Metron
mnemonic,Mnemonic,1,3/3/2016,11/15/2017,http://incubator.apache.org/projects/mnemonic.html,https://github.com/apache/Mnemonic
mrunit,MRUnit,1,3/8/2011,5/16/2012,http://incubator.apache.org/projects/mrunit.html,https://github.com/apache/MRUnit
myfaces,MyFaces,1,7/16/2004,3/9/2005,http://incubator.apache.org/projects/myfaces.html,https://github.com/apache/MyFaces
mynewt,Mynewt,1,10/20/2015,6/21/2017,http://incubator.apache.org/projects/mynewt.html,https://github.com/apache/mynewt-core
netbeans,NetBeans,1,10/1/2016,4/17/2019,http://incubator.apache.org/projects/netbeans.html,https://github.com/apache/NetBeans
nifi,NiFi,1,11/24/2014,7/15/2015,http://incubator.apache.org/projects/nifi.html,https://github.com/apache/NiFi
nutch,Nutch,1,1/15/2005,6/1/2005,http://incubator.apache.org/projects/nutch.html,https://github.com/apache/Nutch
nuvem,Nuvem,1,6/24/2010,11/29/2012,http://incubator.apache.org/projects/nuvem.html,https://github.com/apache/Nuvem
ode,Ode,1,2/17/2006,7/18/2007,http://incubator.apache.org/projects/ode.html,https://github.com/apache/Ode
ofbiz,OFBiz,1,1/31/2006,12/20/2006,http://incubator.apache.org/projects/ofbiz.html,https://github.com/apache/OFBiz
ognl,OGNL,1,4/26/2011,8/30/2011,http://incubator.apache.org/projects/ognl.html,https://github.com/apache/commons-ognl
olingo,Olingo,1,7/8/2013,3/19/2014,http://incubator.apache.org/projects/olingo.html,https://github.com/apache/olingo-odata4
omid,Omid,1,3/28/2016,11/15/2019,http://incubator.apache.org/projects/omid.html,https://github.com/apache/phoenix-omid
onami,Onami,1,11/14/2012,4/17/2013,http://incubator.apache.org/projects/onami.html,https://github.com/apache/Onami
oodt,OODT,1,1/21/2010,11/17/2010,http://incubator.apache.org/projects/oodt.html,https://github.com/apache/OODT
oozie,Oozie,1,7/11/2011,8/28/2012,http://incubator.apache.org/projects/oozie.html,https://github.com/apache/Oozie
climate,Open Climate Workbench,1,2/15/2013,2/19/2014,http://incubator.apache.org/projects/climate.html,https://github.com/apache/climate
openejb,OpenEJB,1,7/5/2006,5/16/2007,http://incubator.apache.org/projects/openejb.html,https://github.com/apache/OpenEJB
openjpa,OpenJPA,1,4/10/2006,5/16/2007,http://incubator.apache.org/projects/openjpa.html,https://github.com/apache/OpenJPA
openmeetings,Openmeetings,1,11/12/2011,1/18/2013,http://incubator.apache.org/projects/openmeetings.html,https://github.com/apache/Openmeetings
opennlp,OpenNLP,1,11/23/2010,2/15/2012,http://incubator.apache.org/projects/opennlp.html,https://github.com/apache/OpenNLP
openoffice,OpenOffice.org,1,6/13/2011,10/17/2012,http://incubator.apache.org/projects/openofficeorg.html,https://github.com/apache/openoffice
openwebbeans,OpenWebBeans,1,10/26/2008,12/17/2009,http://incubator.apache.org/projects/openwebbeans.html,https://github.com/apache/OpenWebBeans
openwhisk,OpenWhisk,1,11/23/2016,7/17/2019,http://incubator.apache.org/projects/openwhisk.html,https://github.com/apache/OpenWhisk
parquet,Parquet,1,5/20/2014,4/22/2015,http://incubator.apache.org/projects/parquet.html,https://github.com/apache/parquet-cpp
pdfbox,PDFBox,1,2/7/2008,10/21/2009,http://incubator.apache.org/projects/pdfbox.html,https://github.com/apache/PDFBox
phoenix,Phoenix,1,12/11/2013,5/21/2014,http://incubator.apache.org/projects/phoenix.html,https://github.com/apache/Phoenix
pig,Pig,1,10/2/2007,10/22/2008,http://incubator.apache.org/projects/pig.html,https://github.com/apache/Pig
pinot,Pinot,1,10/17/2018,7/21/2021,http://incubator.apache.org/projects/pinot.html,https://github.com/apache/Pinot
pivot,Pivot,1,1/26/2009,12/16/2009,http://incubator.apache.org/projects/pivot.html,https://github.com/apache/Pivot
plc4x,PLC4X,1,12/18/2017,4/17/2019,http://incubator.apache.org/projects/plc4x.html,https://github.com/apache/PLC4X
pluto,Pluto,1,9/30/2003,5/15/2004,http://incubator.apache.org/projects/pluto.html,https://github.com/apache/Pluto
predictionio,PredictionIO,1,5/26/2016,10/18/2017,http://incubator.apache.org/projects/predictionio.html,https://github.com/apache/PredictionIO
pulsar,Pulsar,1,6/1/2017,9/19/2018,http://incubator.apache.org/projects/pulsar.html,https://github.com/apache/Pulsar
qpid,Qpid,1,8/27/2006,12/18/2008,http://incubator.apache.org/projects/qpid.html,https://github.com/apache/Qpid
ranger,Ranger,1,7/24/2014,1/18/2017,http://incubator.apache.org/projects/ranger.html,https://github.com/apache/Ranger
rat,RAT,1,1/6/2008,4/18/2012,http://incubator.apache.org/projects/rat.html,https://github.com/apache/creadur-rat
ratis,Ratis,1,1/3/2017,2/17/2021,http://incubator.apache.org/projects/ratis.html,https://github.com/apache/Ratis
rave,Rave,1,3/1/2011,3/21/2012,http://incubator.apache.org/projects/rave.html,https://github.com/apache/Rave
reef,REEF,1,8/12/2014,11/18/2015,http://incubator.apache.org/projects/reef.html,https://github.com/apache/REEF
rocketmq,RocketMQ,1,11/21/2016,9/20/2017,http://incubator.apache.org/projects/rocketmq.html,https://github.com/apache/RocketMQ
roller,Roller,1,6/20/2005,2/21/2007,http://incubator.apache.org/projects/roller.html,https://github.com/apache/Roller
rya,Rya,1,9/18/2015,9/18/2019,http://incubator.apache.org/projects/rya.html,https://github.com/apache/Rya
samza,Samza,1,7/30/2013,1/21/2015,http://incubator.apache.org/projects/samza.html,https://github.com/apache/Samza
sanselan,Sanselan,1,9/9/2007,6/30/2009,http://incubator.apache.org/projects/sanselan.html,https://github.com/apache/Sanselan
sentry,Sentry,1,8/8/2013,3/16/2016,http://incubator.apache.org/projects/sentry.html,https://github.com/apache/Sentry
servicecomb,ServiceComb,1,11/22/2017,10/17/2018,http://incubator.apache.org/projects/servicecomb.html,https://github.com/apache/servicecomb-java-chassis
servicemix,ServiceMix,1,12/1/2005,9/19/2007,http://incubator.apache.org/projects/servicemix.html,https://github.com/apache/ServiceMix
shardingsphere,ShardingSphere,1,11/10/2018,4/16/2020,http://incubator.apache.org/projects/shardingsphere.html,https://github.com/apache/ShardingSphere
shindig,Shindig,1,12/3/2007,1/21/2010,http://incubator.apache.org/projects/shindig.html,https://github.com/apache/Shindig
shiro,Shiro,1,5/20/2008,9/22/2010,http://incubator.apache.org/projects/shiro.html,https://github.com/apache/Shiro
singa,SINGA,1,3/17/2015,10/16/2019,http://incubator.apache.org/projects/singa.html,https://github.com/apache/SINGA
sis,SIS,1,2/21/2010,9/19/2012,http://incubator.apache.org/projects/sis.html,https://github.com/apache/SIS
skywalking,SkyWalking,1,12/8/2017,4/17/2019,http://incubator.apache.org/projects/skywalking.html,https://github.com/apache/SkyWalking
sling,Sling,1,9/9/2007,6/17/2009,http://incubator.apache.org/projects/sling.html,https://github.com/apache/Sling
solr,Solr,1,1/17/2006,1/17/2007,http://incubator.apache.org/projects/solr.html,https://github.com/apache/Solr
spamassassin,SpamAssassin,1,12/20/2003,6/23/2004,http://incubator.apache.org/projects/spamassassin.html,https://github.com/apache/SpamAssassin
spark,Spark,1,6/19/2013,2/19/2014,http://incubator.apache.org/projects/spark.html,https://github.com/apache/Spark
sqoop,Sqoop,1,6/13/2011,3/21/2012,http://incubator.apache.org/projects/sqoop.html,https://github.com/apache/Sqoop
stanbol,Stanbol,1,11/15/2010,9/19/2012,http://incubator.apache.org/projects/stanbol.html,https://github.com/apache/Stanbol
stdcxx,stdcxx,1,5/19/2005,11/14/2007,http://incubator.apache.org/projects/stdcxx.html,https://github.com/apache/stdcxx
storm,Storm,1,9/18/2013,9/17/2014,http://incubator.apache.org/projects/storm.html,https://github.com/apache/Storm
stratos,Stratos,1,6/20/2013,5/21/2014,http://incubator.apache.org/projects/stratos.html,https://github.com/apache/Stratos
streams,Streams,1,11/20/2012,7/19/2017,http://incubator.apache.org/projects/streams.html,https://github.com/apache/Streams
subversion,Subversion,1,11/7/2009,2/17/2010,http://incubator.apache.org/projects/subversion.html,https://github.com/apache/Subversion
superset,Superset,1,5/21/2017,11/19/2020,http://incubator.apache.org/projects/superset.html,https://github.com/apache/Superset
synapse,Synapse,1,8/22/2005,1/2/2007,http://incubator.apache.org/projects/synapse.html,https://github.com/apache/Synapse
syncope,Syncope,1,2/10/2012,11/21/2012,http://incubator.apache.org/projects/syncope.html,https://github.com/apache/Syncope
systemml,SystemML,1,11/2/2015,5/18/2017,http://incubator.apache.org/projects/systemml.html,https://github.com/apache/SystemML
tajo,Tajo,1,3/7/2013,4/1/2014,http://incubator.apache.org/projects/tajo.html,https://github.com/apache/Tajo
tapestry,Tapestry,1,4/1/2003,5/29/2003,http://incubator.apache.org/projects/tapestry.html,https://github.com/apache/tapestry-5
tephra,Tephra,1,3/7/2016,11/15/2019,http://incubator.apache.org/projects/tephra.html,https://github.com/apache/phoenix-tephra
tez,Tez,1,2/24/2013,7/16/2014,http://incubator.apache.org/projects/tez.html,https://github.com/apache/Tez
thrift,Thrift,1,4/18/2008,10/20/2010,http://incubator.apache.org/projects/thrift.html,https://github.com/apache/Thrift
tika,Tika,1,3/22/2007,10/28/2008,http://incubator.apache.org/projects/tika.html,https://github.com/apache/Tika
tinkerpop,TinkerPop,1,1/16/2015,5/23/2016,http://incubator.apache.org/projects/tinkerpop.html,https://github.com/apache/TinkerPop
tobago,Tobago,1,10/27/2005,3/23/2006,http://incubator.apache.org/projects/tobago.html,https://github.com/apache/myfaces-tobago
trafficcontrol,Traffic Control,1,7/12/2016,5/16/2018,http://incubator.apache.org/projects/trafficcontrol.html,https://github.com/apache/trafficcontrol
trafficserver,Traffic Server,1,7/13/2009,4/21/2010,http://incubator.apache.org/projects/trafficserver.html,https://github.com/apache/trafficserver
trafodion,Trafodion,1,5/24/2015,12/20/2017,http://incubator.apache.org/projects/trafodion.html,https://github.com/apache/Trafodion
tvm,TVM,1,3/6/2019,11/18/2020,http://incubator.apache.org/projects/tvm.html,https://github.com/apache/TVM
twill,Twill,1,11/14/2013,6/15/2016,http://incubator.apache.org/projects/twill.html,https://github.com/apache/Twill
uima,UIMA,1,10/23/2006,3/18/2010,http://incubator.apache.org/projects/uima.html,https://github.com/apache/uima-uimafit
unomi,Unomi,1,10/5/2015,2/20/2019,http://incubator.apache.org/projects/unomi.html,https://github.com/apache/Unomi
usergrid,Usergrid,1,10/3/2013,8/19/2015,http://incubator.apache.org/projects/usergrid.html,https://github.com/apache/Usergrid
vcl,VCL,1,10/6/2008,6/20/2012,http://incubator.apache.org/projects/vcl.html,https://github.com/apache/VCL
vxquery,VXQuery,1,7/6/2009,7/16/2014,http://incubator.apache.org/projects/vxquery.html,https://github.com/apache/VXQuery
whirr,Whirr,1,5/11/2010,8/17/2011,http://incubator.apache.org/projects/whirr.html,https://github.com/apache/Whirr
wicket,Wicket,1,8/28/2006,6/20/2007,http://incubator.apache.org/projects/wicket.html,https://github.com/apache/Wicket
wink,Wink,1,5/27/2009,12/19/2012,http://incubator.apache.org/projects/wink.html,https://github.com/apache/Wink
wookie,Wookie,1,7/17/2009,11/22/2012,http://incubator.apache.org/projects/wookie.html,https://github.com/apache/Wookie
xmlbeans,XMLBeans,1,7/30/2003,6/23/2004,http://incubator.apache.org/projects/xmlbeans.html,https://github.com/apache/XMLBeans
zeppelin,Zeppelin,1,12/23/2014,5/18/2016,http://incubator.apache.org/projects/zeppelin.html,https://github.com/apache/Zeppelin
amaterasu,Amaterasu,2,9/7/2017,9/18/2019,http://incubator.apache.org/projects/amaterasu.html,https://github.com/apache/incubator-retired-amaterasu
ariatosca,AriaTosca,2,8/27/2016,7/1/2018,http://incubator.apache.org/projects/ariatosca.html,https://github.com/apache/incubator-ariatosca
blur,Blur,2,7/24/2012,6/22/2017,http://incubator.apache.org/projects/blur.html,https://github.com/apache/incubator-retired-blur
cmda,Climate Model Diagnostic Analyzer,2,5/8/2015,2/5/2017,http://incubator.apache.org/projects/cmda.html,https://github.com/apache/incubator-retired-cmda
concerted,Concerted,2,10/14/2015,4/25/2016,http://incubator.apache.org/projects/concerted.html,https://github.com/apache/incubator-retired-concerted
corinthia,Corinthia,2,12/8/2014,11/19/2015,http://incubator.apache.org/projects/corinthia.html,https://github.com/apache/incubator-retired-corinthia
cotton,Cotton,2,6/1/2015,12/1/2015,http://incubator.apache.org/projects/cotton.html,https://github.com/apache/incubator-retired-cotton
edgent,Edgent,2,2/29/2016,11/20/2019,http://incubator.apache.org/projects/edgent.html,https://github.com/apache/incubator-retired-edgent
gearpump,Gearpump,2,3/8/2016,9/19/2018,http://incubator.apache.org/projects/gearpump.html,https://github.com/apache/incubator-retired-gearpump
gossip,Gossip,2,4/28/2016,8/21/2018,http://incubator.apache.org/projects/gossip.html,https://github.com/apache/incubator-retired-gossip
hdt,Hadoop Development Tools (HDT),2,11/9/2012,12/2/2014,http://incubator.apache.org/projects/hdt.html,https://github.com/apache/incubator-retired-hdt
horn,HORN,2,9/4/2015,7/13/2017,http://incubator.apache.org/projects/horn.html,https://github.com/apache/incubator-retired-horn
htrace,HTrace,2,11/11/2014,4/11/2018,http://incubator.apache.org/projects/htrace.html,https://github.com/apache/incubator-retired-htrace
iota,iota,2,1/20/2016,2/15/2018,http://incubator.apache.org/projects/iota.html,https://github.com/apache/incubator-retired-iota
kalumet,Kalumet,2,9/20/2011,11/1/2015,http://incubator.apache.org/projects/kalumet.html,https://github.com/apache/Kalumet
mrql,MRQL,2,3/13/2013,8/17/2017,http://incubator.apache.org/projects/mrql.html,https://github.com/apache/incubator-retired-mrql
myriad,Myriad,2,3/1/2015,1/24/2020,http://incubator.apache.org/projects/myriad.html,https://github.com/apache/incubator-myriad
nmaven,NMaven,2,11/17/2006,11/13/2008,http://incubator.apache.org/projects/nmaven.html,https://github.com/apache/maven-ant-plugin
npanday,NPanday,2,8/13/2010,2/8/2015,http://incubator.apache.org/projects/npanday.html,https://github.com/apache/NPanday
odf,ODF Toolkit,2,8/1/2011,11/27/2018,http://incubator.apache.org/projects/odftoolkit.html,https://github.com/apache/odftoolkit
openaz,OpenAz,2,1/20/2015,8/26/2016,http://incubator.apache.org/projects/openaz.html,https://github.com/apache/incubator-retired-openaz
photark,PhotArk,2,8/19/2008,12/29/2012,http://incubator.apache.org/projects/photark.html,https://github.com/apache/PhotArk
pirk,Pirk,2,6/17/2016,4/17/2017,http://incubator.apache.org/projects/pirk.html,https://github.com/apache/incubator-retired-pirk
provisionr,Provisionr,2,3/7/2013,11/22/2013,http://incubator.apache.org/projects/provisionr.html,https://github.com/apache/incubator-retired-provisionr
